id,name,estado,municipio,tipo_de_operacion,altitude,coordinates,fecha_de_vencimiento
HP 1776,EDIFICIO FALCON,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,2319.00,19 26 30.12 N 99 12 16.55 W,01/08/2028
HP 1779,TORRE EQUSS SUR,NUEVO LEÓN,MONTERREY,DIURNO,629.00,25 38 48.3 N 100 21 13.77 W,10/11/2032
HP 1780,TORRE EQUSS NORTE,NUEVO LEÓN,MONTERREY,DIURNO,710.00,25 38 50.52 N 100 21 13.76 W,10/11/2032
HP 1784,GENERAL RAFAEL BUELNA TENORIO (ANTERIOR MARIO LOPEZ VALDEZ),SINALOA,MOCORITO,DIURNO,78.00,25 29 9.55 N 107 55 34.2 W,31/03/2031
HP 1785,CORPORATIVO 261,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO,2580.00,19 21 26.75 N 99 11 51.5 W,06/05/2029
HP 1787,CAR ONE GONZALITOS,NUEVO LEÓN,MONTERREY,DIURNO,589.00,25 40 27.5 N 100 21 14.4 W,29/03/2031
HP 1798,DOCTORS HOSPITAL,NUEVO LEÓN,MONTERREY,DIURNO,619.00,25 41 2.82 N 100 21 21.39 W,31/12/2043
HP 1804,GRUPO TRADECO,CIUDAD DE MÉXICO,BENITO JUÁREZ,DIURNO Y NOCTURNO,2357.00,19 21 45.52 N 99 10 59.6 W,23/11/2020
HP 1805,AIRBUS HELICOPTERS MÉXICO,QUERETARO,COLON,DIURNO,1908.00,20 37 24.88 N 100 10 14.57 W,17/04/2030
HP 1806,GOBIERNO DEL ESTADO DE QUERETARO,QUERETARO,QUERETARO,DIURNO,1978.15,20 37 29.95 N 100 22 4.78 W,08/03/2046
HP 1819,ECA 01,ESTADO DE MEXICO,ECATEPEC DE MORELOS,DIURNO Y NOCTURNO,2263.00,19 35 55.53 N 99 2 57.72 W,07/08/2029
HP 1820,CORPORATIVO CERVANTES,CIUDAD DE MÉXICO, MIGUEL HIDALGO,DIURNO,2357.00,19 26 25.8 N 99 12 9.61 W,01/10/2030
HP 1821,HOSPITAL DR. MANUEL GEA GONZÁLEZ,CIUDAD DE MÉXICO,TLALPAN,DIURNO,2302.00,19 17 25.6 N 99 9 40.7 W,07/03/2044
HP 1822,LEGARIA,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO Y NOCTURNO,2268.00,19 26 52.2 N 99 12 25 W,24/09/2029
HP 1829,CENTRO TÉCNIO ADMINISTRATIVO SUR,TABASCO,VILLAHERMOSA,DIURNO Y NOCTURNO,2375.00,18 1 6.57 N 92 57 11.31 W,06/03/2045
HP 1832,CENTRO OPERATIVO BBVA,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO Y NOCTURNO,2391.00,19 26 29.23 N 99 11 2.38 W,08/01/2033
HP 1833,TORRE BBVA,CIUDAD DE MÉXICO,CUAUHTÉMOC,DIURNO Y NOCTURNO,2454.00,19 25 22.27 N 99 10 29.05 W,23/11/2031
