id,name,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,radius,lim_sup,lim_inf,days,hours,flights_affected
MMR-213,SONDA DE CAMPECHE,20 25 00N  093 19 00W,20 25 00N  091 30 00W,19 04 20N  091 30 00W,18 50 00N  091 45 42W,18 50 00N  091 57 40W,18 46 35N  091 58 20W,18 56 19N  093 19 00W,20 25 00N  093 19 00W,,,,,,15000 FT AMSL,AMSL,CONTINUO,H24,VFR
MMR-215,SAN CRISTOBAL,16 38 36N  092 34 12W,16 39 12N  092 15 24W,16 32 24N  092 28 30W,16 34 12N  092 43 12W,16 38 36N  092 34 12W,,,,,,,,,FL 200,GND,CONTINUO,H24,VFR/IFR
MMR-216,ZAPATA,17 51 18N  092 00 00W,17 51 24N  091 46 48W,17 44 24N  091 46 12W,17 37 40N  091 49 30W,17 42 52N  091 59 38W,17 51 18N  092 00 00W,,,,,,,,15000 FT AMSL,GND,CONTINUO,H24,VFR/IFR
MMR-217,SAN BENITO,14 42 01N  092 24 36W,14 41 48N  092 24 49W,14 41 00N  092 23 48W,14 41 09N  092 23 39W,14 41 35N  092 23 40W,14 41 48N  092 23 58W,14 42 09N  092 24 11W,14 42 12N  092 24 23W,14 42 01N  092 24 36W,,,,,1000 FT AMSL,GND,CONTINUO,HJ,VFR
MMR-218,CIUDAD PEMEX,17 53 06N  092 29 14W,,,,,,,,,,,,1389,3000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-219,NUEVO PEMEX,17 34 11N  093 06 51W,,,,,,,,,,,,2315,3000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-220,CACTUS,17 36 59N  093 10 44W,,,,,,,,,,,,1852,3000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-221,DOS BOCAS,18 26 00N  093 10 48 W,,,,,,,,,,,,1852,3000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-222,LA VENTA,18 05 28N  094 02 39W,,,,,,,,,,,,463,3000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-223,COATZACOALCOS,18 08 03N  094 25 36W,18 09 16N  094 22 00W,18 09 00N  094 21 14W,18 05 00N  094 20 49W,18 04 38N  094 21 52W,18 07 32N  094 25 36W,18 08 03N  094 25 36W,,,,,,,3000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-224,LAZARO CARDENAS,17 58 47N  094 31 50W,,,,,,,,,,,,1389,1500 FT AMSL,GND,CONTINUO,H24,VFR
MMR-225,COSOLOACAQUE,18 00 10N  094 33 48W,,,,,,,,,,,,1389,1500 FT AMSL,GND,CONTINUO,H24,VFR
MMR-226,SALINA CRUZ,16 12 22N  095 10 31W,,,,,,,,,,,,1852,3000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-227,TERMINAL MARITIMA,16 10 30N  095 11 40W,16 08 20N  095 11 40W,16 08 20N  095 13 17W,16 10 30N  095 13 17W,16 10 30N  095 11 40W,,,,,,,,,3000 FT AMSL,AMSL,CONTINUO,H24,VFR
MMR-228,,17 49 20N  094 54 13W,17 33 03N  095 25 22W,16 47 56N  095 07 02W,17 49 20N  094 54 13W,,,,,,,,,,20000 FT AMSL,7000 FT AMSL,POR NOTAM,POR NOTAM,VFR/IFR
MMR-229,,16 27 09N  093 26 34W,16 23 04N  094 45 30W,15 41 54N  093 38 25W,16 13 30N  093 16 22W,16 27 09N  093 26 34W,,,,,,,,,52000 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR
MMR-230,,17 55 37N  093 14 48W,17 58 51N  094 09 43W,17 53 04N  094 12 28W,16 56 01N  093 14 43W,16 59 16N  093 04 19W,17 36 44N  092 58 47W,17 55 37N  093 14 48W,,,,,,,20000 FT AMSL,7000 FT AMSL,POR NOTAM,POR NOTAM,VFR
MMR-231,,16 12 53N  095 19 21W,15 49 01N  095 59 45W,15 03 46N  093 00 12W,16 12 42N  094 52 10W,16 12 53N  095 19 21W,,,,,,,,,20000 FT AMSL,5000 FT AMSL,POR NOTAM,POR NOTAM,VFR
MMR-232,,16 13 30N  093 16 22W,15 41 54N  093 38 25W,15 01 38N  092 34 06W,16 09 24N  092 59 03W,16 13 30N  093 16 22W,,,,,,,,,20000 FT AMSL,5000 FT AMSL,POR NOTAM,POR NOTAM,VFR
MMR-233,,16 14 20N  092 46 03W,15 49 47N  092 14 38W,15 28 38N  092 19 29W,15 31 45N  092 32 08W,16 13 22N  092 47 27W,16 14 20N  092 46 03W,,,,,,,,13000 FT AMSL,5000 FT AMSL,POR NOTAM,POR NOTAM,VFR/IFR
MMR-235,,18 46 35N  091 58 20W,18 42 02N  091 59 13W,18 36 35N  092 15 45W,18 44 00N  093 17 37W,18 50 00N  093 19 00W,18 56 19N  093 19 00W,18 46 35N  091 58 20W,,,,,,,5000 FT,AMSL,CONTINUO,H24,VFR
MMR-236,,18 36 35N  092 15 45W,18 32 54N  092 26 58W,18 24 00N  093 13 00W,18 44 00N  093 17 37W,18 36 35N  092 15 45W,,,,,,,,,15000 FT,AMSL,CONTINUO,H24,VFR
